"date","BC","Dust","OC","SO4","SS","PM25"
1994-11-23,1.90875888517717e-07,3.59164216221193e-06,5.80494265509012e-07,9.95360118792928e-06,1.63199889145348e-05,3.06366024187027e-05
1994-11-24,1.89751735078239e-07,3.91239477034848e-06,6.8259268738446e-07,9.28566646474662e-06,9.43865268561898e-06,2.35090583431768e-05
1994-11-25,1.75836787064354e-07,3.76473408121908e-06,6.45414029044822e-07,9.40359922036436e-06,1.43298944338965e-05,2.83194785515892e-05
1994-11-26,1.7419678296238e-07,3.84764036770399e-06,5.86551525764024e-07,9.75653813798036e-06,1.6150411217978e-05,3.05153380323887e-05
1994-11-27,1.77678892705031e-07,4.09794566707963e-06,5.50023998500125e-07,1.04546560291088e-05,1.64269380101221e-05,3.17072425975156e-05
1994-11-28,1.83435741466473e-07,4.82561369946239e-06,5.4234945166712e-07,1.07343516328343e-05,1.2851322348507e-05,2.91370728739373e-05
1994-11-29,1.82615817994271e-07,4.55568787980817e-06,5.70683639865361e-07,9.77463171284803e-06,1.60526712802572e-05,3.1136290330773e-05
1994-11-30,2.04736262105659e-07,4.91983306587289e-06,5.95785766032743e-07,1.02909501432964e-05,2.6992298638691e-05,4.30036038759986e-05
1994-12-01,2.18325809413593e-07,7.07304753274378e-06,6.21602507518938e-07,1.00029735143295e-05,1.73975660031242e-05,3.531351536713e-05
1994-12-02,2.37024278551452e-07,1.31817883628702e-05,6.39717137242009e-07,9.32746021371266e-06,1.1718668478152e-05,3.51046584705283e-05
1994-12-03,2.51882906952981e-07,1.14740083649948e-05,6.87531899051223e-07,8.88642168828225e-06,1.20047164422466e-05,3.33045613015278e-05
1994-12-04,2.15015835918139e-07,6.52247473080932e-06,6.27804536800674e-07,8.88871265594583e-06,2.93439139328943e-05,4.55979216923682e-05
1994-12-05,1.65412022408707e-07,3.83619196180617e-06,4.53554933047903e-07,9.22870907688753e-06,2.73045264157207e-05,4.0988394409871e-05
1994-12-06,1.75992410509526e-07,3.2644438426634e-06,4.74874357519906e-07,9.14613415183737e-06,1.56465798643704e-05,2.87080246269006e-05
1994-12-07,2.06181271577687e-07,2.83537738339656e-06,5.43374036506479e-07,8.78508642394037e-06,1.59770568346552e-05,2.83470759500763e-05
1994-12-08,2.43921414538722e-07,2.45770179868488e-06,5.82051454258291e-07,9.06581731632745e-06,1.66301472695801e-05,2.89796392533895e-05
1994-12-09,2.35952126912432e-07,2.78008806630947e-06,5.91732817136398e-07,9.04349688801252e-06,1.70776217824492e-05,2.972889168082e-05
1994-12-10,2.56954887087517e-07,3.39545842452443e-06,6.54083528413326e-07,1.00151378675436e-05,1.33542370423355e-05,2.76758717499043e-05
1994-12-11,2.83556707522367e-07,4.26356294346617e-06,7.1449839678162e-07,1.10297101990706e-05,1.10392453659881e-05,2.73305736128289e-05
1994-12-12,2.79066213594302e-07,4.55683165985109e-06,6.99719913705818e-07,1.07454547934839e-05,1.22398166180431e-05,2.85208891986783e-05
1994-12-13,2.16629852804965e-07,5.26287564181197e-06,6.01222372973108e-07,8.86504368018472e-06,1.07766383849173e-05,2.57224099326921e-05
