date,nwvf_time_integral,SO4,days_diff
2015-06-28,-234399.34407130998,0.037,7.0
2015-07-05,-945074.7857004044,0.11,7.0
2015-07-12,-2491508.652320283,,
2015-07-19,-4961328.176432563,,
2015-07-26,-4993598.90974514,,
2015-08-23,4728672.874380601,0.014,28.0
2015-08-30,4991502.199919084,0.023,7.0
2015-09-06,-58918.0926749598,0.041,7.0
2015-09-13,-192032.06622245294,0.022,7.0
2015-09-20,4834513.952984468,0.018,7.0
2015-09-27,1895519.1154845483,0.029,7.0
2015-10-04,3904195.882650719,0.035,7.0
2015-10-11,1910169.3405665732,0.023,7.0
2015-10-18,4196063.939112623,0.02,7.0
2015-10-25,2866087.1450296454,0.018,7.0
2015-11-01,2150386.9807400405,0.03,7.0
2015-11-08,2080768.8935476085,0.082,7.0
2015-11-15,1634861.14208235,0.121,7.0
2015-11-22,2289828.234700884,0.063,7.0
2015-11-29,-332987.42935514316,0.069,7.0
2015-12-06,767394.4392241437,0.163,7.0
2015-12-13,126673.24068013513,0.13,7.0
2015-12-27,-531486.6677246869,0.093,14.0
2016-01-03,614535.4001044503,0.079,7.0
2016-01-10,8057535.631647711,0.044,7.0
2016-01-17,-349488.29421789414,0.028,7.0
2016-01-24,-737560.1282391641,0.12,7.0
2016-01-31,1953043.1313423994,0.277,7.0
2016-02-07,1712498.4190947334,0.201,7.0
2016-02-14,-1496594.856451914,0.124,7.0
2016-02-21,818871.8382835397,0.074,7.0
2016-02-28,2832033.004160594,0.074,7.0
2016-03-06,-1398320.4429252865,0.181,7.0
2016-03-13,1664644.3092406539,0.057,7.0
2016-03-20,4064919.0685400898,0.076,7.0
2016-03-27,-1330736.3339960536,0.249,7.0
2016-04-03,155826.0038510407,0.263,7.0
2016-04-10,1198891.7594464046,0.173,7.0
2016-04-17,-849597.9425138872,0.176,7.0
2016-04-24,-1665899.3599475508,0.243,7.0
2016-05-01,-1273652.6933608733,0.301,7.0
2016-05-08,1767691.4885615113,0.152,7.0
2016-05-15,1740657.0409475602,0.057,7.0
2016-05-22,71555.11562039073,0.054,7.0
2016-05-29,1632324.6676177378,0.02,7.0
2016-06-05,3569572.7641038354,0.058,7.0
2016-06-12,-740456.360490045,0.053,7.0
2016-06-19,-1778464.05486421,0.02,7.0
2016-06-26,1682439.0320493013,0.018,7.0
2016-07-03,2495869.8797744634,0.016,7.0
2016-07-10,4701819.475703936,0.014,7.0
2016-07-17,-522506.01997490576,0.029,7.0
2016-07-24,-27102.33922256739,0.022,7.0
2016-07-31,2847106.228670573,0.023,7.0
2016-08-07,-1842587.74368844,0.019,7.0
2016-08-14,-69006.1657197649,0.013,7.0
2016-08-21,1888890.8897227335,0.015,7.0
2016-08-28,6482570.755418588,0.012,7.0
2016-09-04,-1543517.5193696248,0.029,7.0
2016-09-11,2270981.7514187214,0.02,7.0
2016-09-18,1756688.4142654769,0.022,7.0
2016-09-25,6339461.607078652,0.016,7.0
2016-10-02,4959620.822907912,0.013,7.0
2016-10-09,2769966.258766072,0.018,7.0
2016-10-16,4030971.6375568067,0.001,7.0
2016-10-23,3481801.006168299,0.041,7.0
2016-10-30,6592676.199946614,0.019,7.0
2016-11-06,3430170.7711081505,0.025,7.0
2016-11-13,555715.6753768346,0.026,7.0
2016-11-20,6982424.804258015,0.022,7.0
2016-11-27,2756254.7170007355,0.015,7.0
2016-12-04,101638.11385472406,0.042,7.0
2016-12-11,-629639.8451570107,0.089,7.0
2016-12-18,-1037012.0867246857,0.048,7.0
2016-12-25,2556372.488766718,0.163,7.0
2017-01-01,2736331.289990876,0.135,7.0
2017-01-08,278478.5905544238,0.06,7.0
2017-01-29,505653.4865487164,0.243,21.0
2017-02-05,2651223.0184727274,0.188,7.0
2017-02-12,2363349.840158897,0.04,7.0
2017-02-19,4206880.258327544,0.065,7.0
2017-02-26,-730683.5777441583,0.245,7.0
2017-03-05,97041.82836460564,0.163,7.0
2017-03-12,-1271115.4409969957,0.113,7.0
2017-03-19,839281.1781232466,0.169,7.0
2017-03-26,1069058.10416915,0.259,7.0
2017-04-02,1098486.7130919134,0.271,7.0
2017-04-09,-1038763.3279432085,0.244,7.0
2017-04-16,-458317.4198432029,0.221,7.0
2017-04-23,-1053357.6058594054,0.174,7.0
2017-04-30,-324960.18284586363,0.123,7.0
2017-05-07,1012436.7593653619,0.194,7.0
2017-05-14,-2026933.1287456655,0.176,7.0
2018-01-07,-1213847.6862675888,0.238,237.0
2018-01-14,-258325.67396602468,0.243,7.0
2018-01-21,4814970.297674011,0.062,7.0
2018-01-28,2037006.028397633,0.003,7.0
2018-02-04,156051.53421860698,0.015,7.0
2018-02-11,1903226.2474413628,0.003,7.0
2018-02-18,4374066.419542279,0.017,7.0
2018-02-25,2290005.609676293,0.035,7.0
2018-03-04,4081873.7217235225,0.099,7.0
2018-03-11,-351867.7567744206,0.065,7.0
2018-03-18,-618841.9497803263,0.09,7.0
2018-03-25,87613.33546776748,0.124,7.0
2018-04-01,-1035483.0516469963,0.15,7.0
2018-04-08,-1328762.4567297099,0.232,7.0
2018-04-15,-533451.2061331591,0.248,7.0
2018-04-22,1574461.8687869657,0.323,7.0
2018-04-29,-380078.06158052327,0.129,7.0
2018-05-06,88771.76864590579,0.147,7.0
2018-05-13,5661546.70689786,0.122,7.0
2018-05-20,4262740.536467496,0.181,7.0
2018-05-27,3513992.1857737885,0.035,7.0
2018-06-03,2226032.912319458,0.065,7.0
2018-06-10,264965.57983592595,0.053,7.0
2018-06-17,-2752116.9668177785,0.069,7.0
2018-06-24,1374553.6520945975,0.036,7.0
2018-07-01,2756337.8447453724,0.035,7.0
2018-07-08,2722230.9205935383,0.03,7.0
2018-07-15,4918550.981109191,0.017,7.0
2018-07-22,6575279.988134383,0.016,7.0
2018-07-29,8704611.32371738,0.014,7.0
